ID,Nom de l equipe,Année de création,Victoires,Défaites,OT Losses,Pct,Buts Mis,Buts reçus,Diff
0,Boston Bruins,1990,44,24,,0.55,299,264,35
1,Buffalo Sabres,1990,31,30,,0.388,292,278,14
2,Calgary Flames,1990,46,26,,0.575,344,263,81
3,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
4,Los Angeles Kings,1990,46,24,,0.575,340,254,86
5,Montreal Canadiens,1990,39,30,,0.487,273,249,24
6,New Jersey Devils,1990,32,33,,0.4,272,264,8
7,New York Rangers,1990,36,31,,0.45,297,265,32
8,St. Louis Blues,1990,47,22,,0.588,310,250,60
9,Chicago Blackhawks,1991,36,29,,0.45,257,236,21
10,Detroit Red Wings,1991,43,25,,0.537,320,256,64
11,Montreal Canadiens,1991,41,28,,0.512,267,207,60
12,New Jersey Devils,1991,38,31,,0.475,289,259,30
13,New York Rangers,1991,50,25,,0.625,321,246,75
14,St. Louis Blues,1991,36,33,,0.45,279,266,13
15,Vancouver Canucks,1991,42,26,,0.525,285,250,35
16,Washington Capitals,1991,45,27,,0.562,330,275,55
17,Winnipeg Jets,1991,33,32,,0.412,251,244,7
18,Boston Bruins,1992,51,26,,0.607,332,268,64
19,Buffalo Sabres,1992,38,36,,0.452,335,297,38
20,Calgary Flames,1992,43,30,,0.512,322,282,40
21,Chicago Blackhawks,1992,47,25,,0.56,279,230,49
22,Detroit Red Wings,1992,47,28,,0.56,369,280,89
23,Montreal Canadiens,1992,48,30,,0.571,326,280,46
24,New Jersey Devils,1992,40,37,,0.476,308,299,9
25,New York Islanders,1992,40,37,,0.476,335,297,38
26,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99
27,St. Louis Blues,1992,37,36,,0.44,282,278,4
28,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47
29,Vancouver Canucks,1992,46,29,,0.548,346,278,68
30,Washington Capitals,1992,43,34,,0.512,325,286,39
31,Boston Bruins,1993,42,29,,0.5,289,252,37
32,Buffalo Sabres,1993,43,32,,0.512,282,218,64
33,Calgary Flames,1993,42,29,,0.5,302,256,46
34,Chicago Blackhawks,1993,39,36,,0.464,254,240,14
35,Dallas Stars,1993,42,29,,0.5,286,265,21
36,Detroit Red Wings,1993,46,30,,0.548,356,275,81
37,Montreal Canadiens,1993,41,29,,0.488,283,248,35
38,New Jersey Devils,1993,47,25,,0.56,306,220,86
39,New York Islanders,1993,36,36,,0.429,282,264,18
40,New York Rangers,1993,52,24,,0.619,299,231,68
41,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14
42,Toronto Maple Leafs,1993,43,29,,0.512,280,243,37
43,Vancouver Canucks,1993,41,40,,0.488,279,276,3
44,Washington Capitals,1993,39,35,,0.464,277,263,14
45,Boston Bruins,1994,27,18,,0.562,150,127,23
46,Buffalo Sabres,1994,22,19,,0.458,130,119,11
47,Calgary Flames,1994,24,17,,0.5,163,135,28
48,Chicago Blackhawks,1994,24,19,,0.5,156,115,41
49,Dallas Stars,1994,17,23,,0.354,136,135,1
50,Detroit Red Wings,1994,33,11,,0.688,180,117,63
51,New Jersey Devils,1994,22,18,,0.458,136,121,15
52,New York Rangers,1994,22,23,,0.458,139,134,5
53,Philadelphia Flyers,1994,28,16,,0.583,150,132,18
54,Pittsburgh Penguins,1994,29,16,,0.604,181,158,23
55,Quebec Nordiques,1994,30,13,,0.625,185,134,51
56,St. Louis Blues,1994,28,15,,0.583,178,135,43
57,Vancouver Canucks,1994,18,18,,0.375,153,148,5
58,Washington Capitals,1994,22,18,,0.458,136,120,16
59,Boston Bruins,1995,40,31,,0.488,282,269,13
60,Calgary Flames,1995,34,37,,0.415,241,240,1
61,Chicago Blackhawks,1995,40,28,,0.488,273,220,53
62,Colorado Avalanche,1995,47,25,,0.573,326,240,86
63,Detroit Red Wings,1995,62,13,,0.756,325,181,144
64,Florida Panthers,1995,41,31,,0.5,254,234,20
65,Montreal Canadiens,1995,40,32,,0.488,265,248,17
66,New Jersey Devils,1995,37,33,,0.451,215,202,13
67,New York Rangers,1995,41,27,,0.5,272,237,35
68,Philadelphia Flyers,1995,45,24,,0.549,282,208,74
69,Pittsburgh Penguins,1995,49,29,,0.598,362,284,78
70,Washington Capitals,1995,39,32,,0.476,234,204,30
71,Mighty Ducks of Anaheim,1996,36,33,,0.439,245,233,12
72,Buffalo Sabres,1996,40,30,,0.488,237,208,29
73,Chicago Blackhawks,1996,34,35,,0.415,223,210,13
74,Colorado Avalanche,1996,49,24,,0.598,277,205,72
75,Dallas Stars,1996,48,26,,0.585,252,198,54
76,Detroit Red Wings,1996,38,26,,0.463,253,197,56
77,Edmonton Oilers,1996,36,37,,0.439,252,247,5
78,Florida Panthers,1996,35,28,,0.427,221,201,20
79,New Jersey Devils,1996,45,23,,0.549,231,182,49
80,New York Rangers,1996,38,34,,0.463,258,231,27
81,Philadelphia Flyers,1996,45,24,,0.549,274,217,57
82,Pittsburgh Penguins,1996,38,36,,0.463,285,280,5
83,Boston Bruins,1997,39,30,,0.476,221,194,27
84,Buffalo Sabres,1997,36,29,,0.439,211,187,24
85,Colorado Avalanche,1997,39,26,,0.476,231,205,26
86,Dallas Stars,1997,49,22,,0.598,242,167,75
87,Detroit Red Wings,1997,44,23,,0.537,250,196,54
88,Los Angeles Kings,1997,38,33,,0.463,227,225,2
89,Montreal Canadiens,1997,37,32,,0.451,235,208,27
90,New Jersey Devils,1997,48,23,,0.585,225,166,59
91,Philadelphia Flyers,1997,42,29,,0.512,242,193,49
92,Pittsburgh Penguins,1997,40,24,,0.488,228,188,40
93,St. Louis Blues,1997,45,29,,0.549,256,204,52
94,Washington Capitals,1997,40,30,,0.488,219,202,17
95,Mighty Ducks of Anaheim,1998,35,34,,0.427,215,206,9
96,Boston Bruins,1998,39,30,,0.476,214,181,33
97,Buffalo Sabres,1998,37,28,,0.451,207,175,32
98,Carolina Hurricanes,1998,34,30,,0.415,210,202,8
99,Colorado Avalanche,1998,44,28,,0.537,239,205,34
100,Dallas Stars,1998,51,19,,0.622,236,168,68
101,Detroit Red Wings,1998,43,32,,0.524,245,202,43
102,Edmonton Oilers,1998,33,37,,0.402,230,226,4
103,New Jersey Devils,1998,47,24,,0.573,248,196,52
104,Ottawa Senators,1998,44,23,,0.537,239,179,60
105,Philadelphia Flyers,1998,37,26,,0.451,231,196,35
106,Phoenix Coyotes,1998,39,31,,0.476,205,197,8
107,Pittsburgh Penguins,1998,38,30,,0.463,242,225,17
108,San Jose Sharks,1998,31,33,,0.378,196,191,5
109,St. Louis Blues,1998,37,32,,0.451,237,209,28
110,Toronto Maple Leafs,1998,45,30,,0.549,268,231,37
111,Buffalo Sabres,1999,35,32,4,0.427,213,204,9
112,Carolina Hurricanes,1999,37,35,0,0.451,217,216,1
113,Colorado Avalanche,1999,42,28,1,0.512,233,201,32
114,Dallas Stars,1999,43,23,6,0.524,211,184,27
115,Detroit Red Wings,1999,48,22,2,0.585,278,210,68
116,Edmonton Oilers,1999,32,26,8,0.39,226,212,14
117,Florida Panthers,1999,43,27,6,0.524,244,209,35
118,Los Angeles Kings,1999,39,27,4,0.476,245,228,17
119,Montreal Canadiens,1999,35,34,4,0.427,196,194,2
120,New Jersey Devils,1999,45,24,5,0.549,251,203,48
121,Ottawa Senators,1999,41,28,2,0.5,244,210,34
122,Philadelphia Flyers,1999,45,22,3,0.549,237,179,58
123,Phoenix Coyotes,1999,39,31,4,0.476,232,228,4
124,Pittsburgh Penguins,1999,37,31,6,0.451,241,236,5
125,San Jose Sharks,1999,35,30,7,0.427,225,214,11
126,St. Louis Blues,1999,51,19,1,0.622,248,165,83
127,Toronto Maple Leafs,1999,45,27,3,0.549,246,222,24
