ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
0;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;9,0;2 712 245;$534.86M;Action; Crime; Drama
1;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;9,0;1 883 515;$377.85M;Action; Adventure; Drama
2;Inception;2010;Tous publics;148;8,8;2 407 554;$292.58M;Action; Adventure; Sci-Fi
3;Le Seigneur des anneaux : La Communauté de l'anneau;2001;Tous publics;178;8,8;1 912 302;$315.54M;Action; Adventure; Drama
4;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;8,8;1 700 210;$342.55M;Action; Adventure; Drama
5;Matrix;1999;Tous publics avec avertissement;136;8,7;1 953 794;$171.48M;Action; Sci-Fi;
6;L'Empire contre-attaque;1980;Tous publics;124;8,7;1 318 505;$290.48M;Action; Adventure; Fantasy
7;Soorarai Pottru;2020;18;153;8,7;;;Action; Drama;
8;Star Wars: Épisode IV - Un nouvel espoir;1977;Tous publics;121;8,6;1 391 036;$322.74M;Action; Adventure; Fantasy
9;Terminator 2 : Le jugement dernier;1991;12;137;8,6;1 121 010;$204.84M;Action; Sci-Fi;
10;Les 7 Samouraïs;1954;Tous publics;207;8,6;352 241;$0.27M;Action; Drama;
11;Harakiri;1962;Tous publics;133;8,6;;;Action; Drama; Mystery
12;Sita Ramam;2022;;163;8,6;;;Action; Drama; Mystery
13;Léon;1994;12;110;8,5;1 186 803;$19.50M;Action; Crime; Drama
14;Gladiator;2000;Tous publics avec avertissement;155;8,5;1 533 090;$187.71M;Action; Adventure; Drama
15;Avengers: Endgame;2019;Tous publics;181;8,4;1 175 410;$858.37M;Action; Adventure; Drama
16;Spider-Man: New Generation;2018;Tous publics;117;8,4;560 624;$190.24M;Animation; Action; Adventure
17;Avengers: Infinity War;2018;Tous publics;149;8,4;1 119 126;$678.82M;Action; Adventure; Sci-Fi
18;Old Boy;2003;16;120;8,4;594 853;$0.71M;Action; Drama; Mystery
19;Les Aventuriers de l'arche perdue;1981;Tous publics;115;8,4;984 371;$248.16M;Action; Adventure;
20;The Dark Knight Rises;2012;Tous publics;164;8,4;1 738 272;$448.14M;Action; Drama; Thriller
21;Aliens : Le Retour;1986;13;137;8,4;731 338;$85.16M;Action; Adventure; Sci-Fi
22;Kaithi;2019;18;145;8,4;;;Action; Adventure; Crime
23;Asuran;2019;;141;8,4;;;Action; Drama;
24;Les Gardiens de la Galaxie 3;2023;Tous publics;150;8,3;;;Action; Adventure; Comedy
25;Heat;1995;Tous publics avec avertissement;170;8,3;672 968;$67.44M;Action; Crime; Drama
26;Top Gun: Maverick;2022;Tous publics;130;8,3;583 034;$718.73M;Action; Drama;
27;Le Retour du Jedi;1983;Tous publics;131;8,3;1 075 490;$309.13M;Action; Adventure; Fantasy
28;Princesse Mononoké;1997;Tous publics;134;8,3;405 758;$2.38M;Animation; Action; Adventure
29;La mort aux trousses;1959;Tous publics;136;8,3;334 096;$13.28M;Action; Adventure; Mystery
30;Kantara;2022;;148;8,3;;;Action; Adventure; Drama
31;Dangal;2016;Tous publics;161;8,3;196 875;$12.39M;Action; Biography; Drama
32;K.G.F: Chapter 2;2022;13;168;8,3;139 278;$6.60M;Action; Crime; Drama
33;Vikram;2022;;175;8,3;;;Action; Crime; Thriller
34;Ratsasan;2018;;170;8,3;;;Action; Crime; Drama
35;Shershaah;2021;13;135;8,3;;;Action; Biography; Drama
36;John Wick: Chapitre 4;2023;12;169;8,2;;;Action; Crime; Thriller
37;Spider-Man: No Way Home;2021;Tous publics;148;8,2;792 747;$804.75M;Action; Adventure; Fantasy
38;1917;2019;Tous publics avec avertissement;119;8,2;618 558;$159.23M;Action; Drama; War
