ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
0;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;Action; Crime; Drama
1;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;Action; Adventure; Drama
2;Inception;2010;Tous publics;148;Action; Adventure; Sci-Fi
3;Le Seigneur des anneaux : La Communauté de l'anneau;2001;Tous publics;178;Action; Adventure; Drama
4;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;Action; Adventure; Drama
5;Matrix;1999;Tous publics avec avertissement;136;Action; Sci-Fi;
6;L'Empire contre-attaque;1980;Tous publics;124;Action; Adventure; Fantasy
7;Soorarai Pottru;2020;18;153;Action; Drama;
8;Star Wars: Épisode IV - Un nouvel espoir;1977;Tous publics;121;Action; Adventure; Fantasy
9;Terminator 2 : Le jugement dernier;1991;12;137;Action; Sci-Fi;
10;Les 7 Samouraïs;1954;Tous publics;207;Action; Drama;
11;Harakiri;1962;Tous publics;133;Action; Drama; Mystery
12;Sita Ramam;2022;;163;Action; Drama; Mystery
13;Léon;1994;12;110;Action; Crime; Drama
14;Gladiator;2000;Tous publics avec avertissement;155;Action; Adventure; Drama
15;Avengers: Endgame;2019;Tous publics;181;Action; Adventure; Drama
16;Spider-Man: New Generation;2018;Tous publics;117;Animation; Action; Adventure
17;Avengers: Infinity War;2018;Tous publics;149;Action; Adventure; Sci-Fi
18;Old Boy;2003;16;120;Action; Drama; Mystery
19;Les Aventuriers de l'arche perdue;1981;Tous publics;115;Action; Adventure;
20;The Dark Knight Rises;2012;Tous publics;164;Action; Drama; Thriller
21;Aliens : Le Retour;1986;13;137;Action; Adventure; Sci-Fi
22;Kaithi;2019;18;145;Action; Adventure; Crime
23;Asuran;2019;;141;Action; Drama;
24;Les Gardiens de la Galaxie 3;2023;Tous publics;150;Action; Adventure; Comedy
25;Heat;1995;Tous publics avec avertissement;170;Action; Crime; Drama
26;Top Gun: Maverick;2022;Tous publics;130;Action; Drama;
27;Le Retour du Jedi;1983;Tous publics;131;Action; Adventure; Fantasy
28;Princesse Mononoké;1997;Tous publics;134;Animation; Action; Adventure
29;La mort aux trousses;1959;Tous publics;136;Action; Adventure; Mystery
30;Kantara;2022;;148;Action; Adventure; Drama
31;Dangal;2016;Tous publics;161;Action; Biography; Drama
32;K.G.F: Chapter 2;2022;13;168;Action; Crime; Drama
33;Vikram;2022;;175;Action; Crime; Thriller
34;Ratsasan;2018;;170;Action; Crime; Drama
35;Shershaah;2021;13;135;Action; Biography; Drama
36;John Wick: Chapitre 4;2023;12;169;Action; Crime; Thriller
37;Spider-Man: No Way Home;2021;Tous publics;148;Action; Adventure; Fantasy
38;1917;2019;Tous publics avec avertissement;119;Action; Drama; War
39;Jurassic Park;1993;Tous publics;127;Action; Adventure; Sci-Fi
40;Kill Bill: Volume I;2003;16;111;Action; Crime; Drama
41;Batman Begins;2005;Tous publics;140;Action; Crime; Drama
42;Indiana Jones et la dernière croisade;1989;Tous publics;127;Action; Adventure;
