ID,Nom,Année de sortie,Classification,Durée,Genre,Note,Nombre de votant,Revenus
0,The Dark Knight : Le Chevalier noir,(2008),Tous publics,152 min,"Action, Crime, Drama","9,0",2 712 245,$534.86M
1,Le Seigneur des anneaux : Le Retour du roi,(2003),Tous publics avec avertissement,201 min,"Action, Adventure, Drama","9,0",1 883 515,$377.85M
2,Inception,(2010),Tous publics,148 min,"Action, Adventure, Sci-Fi","8,8",2 407 554,$292.58M
3,Le Seigneur des anneaux : La Communauté de l'anneau,(2001),Tous publics,178 min,"Action, Adventure, Drama","8,8",1 912 302,$315.54M
4,Le Seigneur des anneaux : Les Deux Tours,(2002),Tous publics avec avertissement,179 min,"Action, Adventure, Drama","8,8",1 700 210,$342.55M
5,Matrix,(1999),Tous publics avec avertissement,136 min,"Action, Sci-Fi","8,7",1 953 794,$171.48M
6,L'Empire contre-attaque,(1980),Tous publics,124 min,"Action, Adventure, Fantasy","8,7",1 318 505,$290.48M
7,Soorarai Pottru,(2020),18,153 min,"Action, Drama","8,7",,
8,Star Wars: Épisode IV - Un nouvel espoir,(1977),Tous publics,121 min,"Action, Adventure, Fantasy","8,6",1 391 036,$322.74M
9,Terminator 2 : Le jugement dernier,(1991),12,137 min,"Action, Sci-Fi","8,6",1 121 010,$204.84M
10,Les 7 Samouraïs,(1954),Tous publics,207 min,"Action, Drama","8,6",352 241,$0.27M
11,Harakiri,(1962),Tous publics,133 min,"Action, Drama, Mystery","8,6",,
12,Sita Ramam,(2022),,163 min,"Action, Drama, Mystery","8,6",,
13,Léon,(1994),12,110 min,"Action, Crime, Drama","8,5",1 186 803,$19.50M
14,Gladiator,(2000),Tous publics avec avertissement,155 min,"Action, Adventure, Drama","8,5",1 533 090,$187.71M
15,Avengers: Endgame,(2019),Tous publics,181 min,"Action, Adventure, Drama","8,4",1 175 410,$858.37M
16,Spider-Man: New Generation,(2018),Tous publics,117 min,"Animation, Action, Adventure","8,4",560 624,$190.24M
17,Avengers: Infinity War,(2018),Tous publics,149 min,"Action, Adventure, Sci-Fi","8,4",1 119 126,$678.82M
18,Old Boy,(2003),16,120 min,"Action, Drama, Mystery","8,4",594 853,$0.71M
19,Les Aventuriers de l'arche perdue,(1981),Tous publics,115 min,"Action, Adventure","8,4",984 371,$248.16M
20,The Dark Knight Rises,(2012),Tous publics,164 min,"Action, Drama, Thriller","8,4",1 738 272,$448.14M
21,Aliens : Le Retour,(1986),13,137 min,"Action, Adventure, Sci-Fi","8,4",731 338,$85.16M
22,Kaithi,(2019),18,145 min,"Action, Adventure, Crime","8,4",,
23,Asuran,(2019),,141 min,"Action, Drama","8,4",,
24,Les Gardiens de la Galaxie 3,(2023),Tous publics,150 min,"Action, Adventure, Comedy","8,3",,
25,Heat,(1995),Tous publics avec avertissement,170 min,"Action, Crime, Drama","8,3",672 968,$67.44M
26,Top Gun: Maverick,(2022),Tous publics,130 min,"Action, Drama","8,3",583 034,$718.73M
27,Le Retour du Jedi,(1983),Tous publics,131 min,"Action, Adventure, Fantasy","8,3",1 075 490,$309.13M
28,Princesse Mononoké,(1997),Tous publics,134 min,"Animation, Action, Adventure","8,3",405 758,$2.38M
29,La mort aux trousses,(1959),Tous publics,136 min,"Action, Adventure, Mystery","8,3",334 096,$13.28M
30,Kantara,(2022),,148 min,"Action, Adventure, Drama","8,3",,
31,Dangal,(2016),Tous publics,161 min,"Action, Biography, Drama","8,3",196 875,$12.39M
32,K.G.F: Chapter 2,(2022),13,168 min,"Action, Crime, Drama","8,3",139 278,$6.60M
33,Vikram,(2022),,175 min,"Action, Crime, Thriller","8,3",,
34,Ratsasan,(2018),,170 min,"Action, Crime, Drama","8,3",,
35,Shershaah,(2021),13,135 min,"Action, Biography, Drama","8,3",,
36,John Wick: Chapitre 4,(2023),12,169 min,"Action, Crime, Thriller","8,2",,
37,Spider-Man: No Way Home,(2021),Tous publics,148 min,"Action, Adventure, Fantasy","8,2",792 747,$804.75M
38,1917,(2019),Tous publics avec avertissement,119 min,"Action, Drama, War","8,2",618 558,$159.23M
39,Jurassic Park,(1993),Tous publics,127 min,"Action, Adventure, Sci-Fi","8,2",1 011 906,$402.45M
40,Kill Bill: Volume I,(2003),16,111 min,"Action, Crime, Drama","8,2",1 138 718,$70.10M
41,Batman Begins,(2005),Tous publics,140 min,"Action, Crime, Drama","8,2",1 500 330,$206.85M
42,Indiana Jones et la dernière croisade,(1989),Tous publics,127 min,"Action, Adventure","8,2",769 667,$197.17M
43,Piège de cristal,(1988),Tous publics,132 min,"Action, Thriller","8,2",900 035,$83.01M
44,V pour vendetta,(2005),Tous publics avec avertissement,132 min,"Action, Drama, Sci-Fi","8,2",1 139 284,$70.51M
45,Warrior,(2011),Tous publics,140 min,"Action, Drama, Sport","8,2",481 185,$13.66M
46,"Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini",(2020),Tous publics avec avertissement,117 min,"Animation, Action, Adventure","8,2",63 822,$47.70M
47,Ran,(1985),Tous publics,162 min,"Action, Drama, War","8,2",128 849,$4.14M
